id|label|level|generators
bigint|text|integer|integer[]

59|5.24.0.1|5|{{1,3,0,4},{1,2,0,2}}
64|5.30.0.2|5|{{2,0,0,3},{0,2,1,0}}
606|8.48.0.217|8|{{1,0,0,7},{5,7,0,1},{7,4,0,7}}
768|8.96.0.32|8|{{3,4,0,1},{5,0,4,1},{1,6,4,7}}
799|8.96.0.63|8|{{5,4,4,1},{5,0,0,1},{7,0,4,7},{3,0,0,1}}
48880|54.216.13.5|54|{{8,27,45,28},{31,38,48,13},{23,47,21,20}}
6012|16.96.0.84|16|{{13,6,14,11},{9,8,14,7},{11,2,6,5}}
6177|16.96.0.249|16|{{15,0,8,5},{9,13,0,5},{7,12,8,15}}
6249|16.96.0.321|16|{{5,7,4,3},{7,14,8,15},{5,7,0,9}}
9344|16.192.5.430|16|{{11,8,8,11},{11,11,12,13},{15,12,10,1}}
25734|27.162.8.1|27|{{7,18,24,20},{0,22,10,18}}
33315|28.2016.121.22|28|{{15,25,0,27},{11,0,0,11},{23,7,0,9},{13,3,0,1}}
42634|30.2160.145.118|30|{{12,23,1,18},{19,28,22,21}}
43815|32.96.0.106|32|{{19,10,30,17},{19,31,0,23}}
48631|51.216.13.2|51|{{13,7,34,29},{9,31,17,24},{8,22,17,38}}
48639|51.216.13.10|51|{{21,47,17,21},{7,41,34,13},{45,20,17,42}}
48884|54.216.13.9|54|{{7,5,21,22},{11,26,48,5},{34,15,45,44}}
57322|116.60.4.2|116|{{7,85,0,85},{86,75,87,77},{47,81,87,54}}
57323|116.60.4.3|116|{{108,3,29,25},{102,63,29,105},{16,59,29,88}}
57324|116.60.4.4|116|{{6,87,29,108},{108,29,29,13},{73,18,87,25}}
57378|117.84.2.18|117|{{47,12,13,76},{48,14,104,59}}
57379|117.84.2.19|117|{{46,43,91,108},{63,44,26,8}}
57463|119.144.5.5|119|{{73,14,68,118},{33,25,68,47}}
57464|119.144.5.6|119|{{95,39,17,86},{87,35,17,72}}
57465|119.144.5.7|119|{{96,11,85,59},{7,18,102,49}}
57466|119.144.5.8|119|{{57,85,102,83},{18,109,102,98}}
