// Data from Box 2020, "Quadratic points on modular curves with infinite Mordell-Weil group"
// This includes only non-cuspidal rational or sporadic quadratic points
// Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'43.44.3.1' | 3 | '1.1.1.1' | [-884736000] | '1.1.1.1' | 'Yes' | -43 | []
'43.44.3.1' | 3 | '2.0.131.1' | [68066837408386587781106784910786943/3410605131648480892181396484375, 5292758628698470699409640318884476/3410605131648480892181396484375] | '2.0.131.1' | 'No' | 0 | []
'43.44.3.1' | 3 | '2.0.131.1' | [-1944657660938571205499023/547094945657561796045, 491016934792975373166236/1641284836972685388135] | '2.0.131.1' | 'No' | 0 | []
'43.44.3.1' | 3 | '2.0.71.1' | [-232, -49/2] | '2.0.71.1' | 'No' | 0 | []
'43.44.3.1' | 3 | '2.0.71.1' | [-6907950533034835666243/4398046511104, 5111948195521623101849/8796093022208] | '2.0.71.1' | 'No' | 0 | []
'57.80.5.1' | 5 | '2.0.23.1' | [1839/2, 343/2] | '2.0.23.1' | 'No' | 0 | []
'57.80.5.1' | 5 | '2.0.23.1' | [1809447/32, 201439/8] | '2.0.23.1' | 'No' | 0 | []
'57.80.5.1' | 5 | '2.0.23.1' | [-417796367280200628829/72057594037927936, 152503825515346075337/144115188075855872] | '2.0.23.1' | 'No' | 0 | []
'57.80.5.1' | 5 | '2.0.23.1' | [-23119094451594633/524288, -56278625425021601/524288] | '2.0.23.1' | 'No' | 0 | []
'57.80.5.1' | 5 | '2.0.3.1' | [-12288000] | '1.1.1.1' | 'Yes' | -27 | [19]
'57.80.5.1' | 5 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | [19]
'57.80.5.1' | 5 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | [19, 57]
'57.80.5.1' | 5 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | [19, 57]
'57.80.5.1' | 5 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | [57]
'57.80.5.1' | 5 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | [57]
'57.80.5.1' | 5 | '2.2.13.1' | [-7801546759588524979828, 3387888351672962316333] | '2.2.13.1' | 'No' | 0 | [3]
'57.80.5.1' | 5 | '2.2.13.1' | [-21988, -17787] | '2.2.13.1' | 'No' | 0 | [3]
'67.68.5.1' | 5 | '1.1.1.1' | [-147197952000] | '1.1.1.1' | 'Yes' | -67 | []
'67.68.5.1' | 5 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | -8 | [67]
'67.68.5.1' | 5 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | [67]
'67.68.5.1' | 5 | '2.0.3.1' | [-12288000] | '1.1.1.1' | 'Yes' | -27 | [67]
'67.68.5.1' | 5 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | [67]
'67.68.5.1' | 5 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | [67]
'67.68.5.1' | 5 | '2.0.7.1' | [16581375] | '1.1.1.1' | 'Yes' | -28 | [67]
'67.68.5.1' | 5 | '2.0.11.1' | [-32768] | '1.1.1.1' | 'Yes' | -11 | [67]
'67.68.5.1' | 5 | '2.0.43.1' | [-884736000] | '1.1.1.1' | 'Yes' | -43 | [67]
'73.74.5.1' | 5 | '2.0.31.1' | [71673599323745437978616985/9444732965739290427392, -218623729131479023842537441/9444732965739290427392] | '2.0.31.1' | 'No' | 0 | []
'73.74.5.1' | 5 | '2.0.31.1' | [4185/2, -6561/2] | '2.0.31.1' | 'No' | 0 | []
'73.74.5.1' | 5 | '2.0.19.1' | [-884736] | '1.1.1.1' | 'Yes' | -19 | [73]
'73.74.5.1' | 5 | '2.0.4.1' | [287496] | '1.1.1.1' | 'Yes' | -16 | [73]
'73.74.5.1' | 5 | '2.0.4.1' | [1728] | '1.1.1.1' | 'Yes' | -4 | [73]
'73.74.5.1' | 5 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | -8 | [73]
'73.74.5.1' | 5 | '2.0.127.1' | [1042051952132171164856115/295147905179352825856, 14758692270140155157349165/9444732965739290427392] | '2.0.127.1' | 'No' | 0 | [73]
'73.74.5.1' | 5 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | [73]
'73.74.5.1' | 5 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | [73]
'73.74.5.1' | 5 | '2.0.4.1' | [-12288000] | '1.1.1.1' | 'Yes' | -27 | [73]
'73.74.5.1' | 5 | '2.0.67.1' | [-147197952000] | '1.1.1.1' | 'Yes' | -67 | [73]
