// Data from Box, Gajović, Goodman
// "Cubic and Quartic Points on Modular Curves Using Generalised Symmetric Chabauty"
// IMRN, 2022
// https://arxiv.org/pdf/2102.08236.pdf
//Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'X0(53)' | 4 | '3.1.77955.1'| [ -6594966442722213746931150662879063633/19383245667680019896796723, 1545152415129700179443672757063109789/19383245667680019896796723, -383791426307028167821262180847852905/19383245667680019896796723 ]| '3.1.77955.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.77955.1'| [ -268896737/3, 63003373/3, -15648377/3 ]| '3.1.77955.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.1763.1' | [ 4934717748383394121661044694765075727/9007199254740992, 37409903734403410603775145219905863/1125899906842624,  429659534891842853950179275957642701/9007199254740992 ] | '3.1.1763.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.1763.1' | [ 18317182399622734527/2, 555447395531288377, 1594853540089340101/2 ]| '3.1.1763.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.328948.1' | [ 352389719111433433199614166785341899/134217728, -19601232799455021073603806896166691/134217728, 1440048993900423723634720414438177/33554432 ] | '3.1.328948.1'| 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.328948.1' | [ 361470319752701/2, -20106331622569/2, 2954314266536 ] | '3.1.328948.1'| 'no' | 0 | []
'X0(53)' | 4 | '3.1.211.1' | [ -74, -123, -26 ] | '3.1.211.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.211.1' | [ -214766963414423266964158036517900, -256613875330390280002820617300050, -135538657185216969134696061309629 ] | '3.1.211.1' | 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.324.1' | [ 214668790692, 258763889291, 117843669992 ]| '3.1.324.1'| 'no' | 0 | [] 
'X0(53)' | 4 | '3.1.324.1' | [ 54165390933943542489231382553348, 65291506111938160265579873086771, 29734407481985808940410283825504 ] |'3.1.324.1'| 'no' | 0 | [] 
'X0(57)' | 5 | '3.1.139.1' | [ -21658080, 16880722, -9209701 ]| '3.1.139.1' | 'no' | 0 | [] 
