// Data from Bruin-Najman 2019, "Hyperelliptic modular curves X0(N) and isogenies of elliptic curves over quadratic fields"
// This includes only non-cuspidal rational or (conjugacy classes of) sporadic quadratic points
// Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'22.36.2.1' | 2 | '2.0.7.1' | [1083/2, 89/4] | '2.0.7.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.7.1' | [-2972535935/2097152, -3965857499/4194304] | '2.0.7.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.7.1' | [4634, -267/2] | '2.0.7.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.7.1' | [2562348539/1024, 10197162951/2048] | '2.0.7.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'22.36.2.1' | 2 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'22.36.2.1' | 2 | '2.2.33.1' | [5562936868789, -1649607317164] | '2.2.33.1' | 'No' | 0 | [2]
'22.36.2.1' | 2 | '2.2.33.1' | [1203885, -357236] | '2.2.33.1' | 'No' | 0 | [2]
'22.36.2.1' | 2 | '2.0.47.1' | [149/3, -6049/18] | '2.0.47.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.47.1' | [8905298322651955/5355700839936, -1303848704909983/64268410079232] | '2.0.47.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.47.1' | [0, 12167/12] | '2.0.47.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.47.1' | [19303016130023737/61917364224, -57720999401577469/743008370688] | '2.0.47.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.8.1' | [35474120914493/31381059609, 2645170069073/31381059609] | '2.0.8.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.8.1' | [-17360137/9, 32964617/9] | '2.0.8.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.8.1' | [-15819305923/177147, -20591552914/177147] | '2.0.8.1' | 'No' | 0 | []
'22.36.2.1' | 2 | '2.0.8.1' | [-1939/3, -3958/3] | '2.0.8.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.20.1' | [47716887133909/94143178827, -3273715842106/94143178827] | '2.0.20.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.20.1' | [-28816480679/3, -2634524878/3] | '2.0.20.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.7.1' | [1113501675/4194304, -5220116617/8388608] | '2.0.7.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.7.1' | [-22832, 103729/2] | '2.0.7.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.11.1' | [2848/3, 1931/3] | '2.0.11.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.11.1' | [-202526678005583/94143178827, 456544815128399/94143178827] | '2.0.11.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.15.1' | [3065, -229/2] | '2.0.15.1' | 'No' | 0 | []
'23.24.2.1' | 2 | '2.0.15.1' | [146680116099/2097152, 805720288057/8388608] | '2.0.15.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | []
'26.42.2.1' | 2 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | []
'26.42.2.1' | 2 | '2.0.11.1' | [1280/3, 256/9] | '2.0.11.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.11.1' | [-142592, -159760/3] | '2.0.11.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.11.1' | [234692362345053440/847288609443, -389779139900620544/2541865828329] | '2.0.11.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.11.1' | [3066313961843968/531441, -97584627518327440/1594323] | '2.0.11.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.23.1' | [9125/6, -625/12] | '2.0.23.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.23.1' | [204625/9, 1361875/18] | '2.0.23.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.23.1' | [414976152108267125/53496602689536, 14315194037429375/106993205379072] | '2.0.23.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.23.1' | [2548737209452092625/10411482432835584, -148422496548966125/20822964865671168] | '2.0.23.1' | 'No' | 0 | []
'26.42.2.1' | 2 | '2.0.4.1' | [1728] | '1.1.1.1' | 'Yes' | -4 | []
'26.42.2.1' | 2 | '2.0.4.1' | [287496] | '1.1.1.1' | 'Yes' | -16 | []
'28.48.2.1' | 2 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | []
'28.48.2.1' | 2 | '2.0.3.1' | [54000] | '1.1.1.1' | 'Yes' | -12 | []
'28.48.2.1' | 2 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'28.48.2.1' | 2 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'28.48.2.1' | 2 | '2.0.7.1' | [16581375] | '1.1.1.1' | 'Yes' | -28 | []
'28.48.2.1' | 2 | '2.0.23.1' | [43625/48, 9841/48] | '2.0.23.1' | 'No' | 0 | []
'28.48.2.1' | 2 | '2.0.23.1' | [43625/48, 9841/48] | '2.0.23.1' | 'No' | 0 | []
'28.48.2.1' | 2 | '2.0.23.1' | [106031/6, 57217/6] | '2.0.23.1' | 'No' | 0 | []
'28.48.2.1' | 2 | '2.0.23.1' | [106031/6, 57217/6] | '2.0.23.1' | 'No' | 0 | []
