X0(30) | 3 | '3.1.424.1' | [ 1556818008119/1207959552, 609188723503/1207959552, -1073069037823/9663676416 ] | '3.1.424.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.11321.1' | [ 3825571483474601/442368, 982809759750667/1769472, -584634257183603/1769472 ] | '3.3.11321.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.424.1' | [ 1088978394546015571/470184984576, -634792251090635179/470184984576, 1825672354039663/3673320192 ] | '3.1.424.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.200.1' | [ 41174847919927825/32, -11054906619132125/16, 26789558009840075/64 ] | '3.1.200.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.1879.1' | [ 173450916346291/18432, 78548054470563/16384, -714620979412931/294912 ] | '3.1.1879.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.229.1' | [ 2911324634581045729032995/8192, 52087486182589166202672597/32768, 24628729701449988584212043/32768 ] | '3.3.229.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.331.1' | [ 3906545453/54, 265635823/54, 1193936839/54 ] | '3.1.331.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.331.1' | [ 296222640066501653/459165024, 881293326616020673/459165024, -919093809566522957/459165024 ] | '3.1.331.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.424.1' | [ -467479753/93312, 198843007/93312, 2171254913/746496 ] | '3.1.424.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.229.1' | [ -2767591890197/32768, -9582969548701/32768, 5149908848399/32768 ] | '3.3.229.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.200.1' | [ -25/2 ] | '1.1.1.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.229.1' | [ 14147/32, -17157/32, 4847/32 ] | '3.3.229.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.200.1' | [ -349938025/8 ] | '1.1.1.1' | 'No' | 0 |[]
